id,name,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
094014,Allende-Viertel,11382.0,4.04393,7.21314,20.86275,0.59676,-0.88684,-2.23852
094015,Altstadt Köpenick,7337.0,6.14275,14.22925,29.67742,0.397250000000001,-2.27054,-3.84531
094016,Müggelheim,6867.0,1.48906,2.06786,3.83352,0.67092,-0.0935000000000001,-1.06493
095017,Friedrichshagen,19009.0,2.97317,4.30849,7.64054,0.39487,-0.43592,-1.57212
095018,Rahnsdorf,9856.0,2.21396,3.58157,7.96394,0.72168,0.47932,2.29465
095019,Dammvorstadt,11733.0,3.89578,6.0854,13.10616,0.95383,-0.6025,0.650139999999999
095020,Köpenick Nord,13294.0,2.83386,3.76862,7.97053,0.48509,-1.06084,-2.09325
101001,Marzahn Nord,24322.0,6.49964,19.54609,39.83932,0.63618,-2.71193,-4.62074
101002,Marzahn Mitte,48144.0,6.84469,15.91891,37.62362,1.05933,-2.23185,-3.69812
101003,Marzahn Süd,39042.0,4.55493,10.20696,23.73143,0.70513,-1.16755,-3.58584
102004,Hellersdorf Nord,37487.0,7.69524,20.88191,43.36398,1.50093,-2.72616,-4.34941
102005,Hellersdorf Ost,21403.0,5.95727,17.67509,40.316,1.06483,0.0083599999999997,1.69735
102006,Hellersdorf Süd,25213.0,5.20259,13.15988,32.20943,0.82676,-1.47986,-2.93725000000001
103007,Biesdorf,28955.0,1.90158,4.06147,7.69829,0.48531,0.11065,0.59066
104008,Kaulsdorf,19408.0,1.32651,2.973,5.86466,0.12689,-0.37685,-0.538130000000001
104009,Mahlsdorf,29757.0,0.70607,1.93568,3.12647,-0.0203100000000001,0.27907,0.74431
111001,"Malchow, Wartenberg und Falkenberg",5491.0,1.92108,7.79457,18.00459,0.64164,3.15313,10.25383
111002,Neu-Hohenschönhausen Nord,29742.0,7.63806,18.34779,42.41386,1.62768,-1.60147,-1.17012
111003,Neu-Hohenschönhausen Süd,27098.0,7.53169,16.24843,40.6991,1.45736,-2.21768,-2.9273
