id,name,inhabitants,z_s1_percentage_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
10100314,Auersbergstraße,6309.0,0.01953,-0.2237,-0.02026,-0.22443,mittel,0.35159
10100315,Bärenstein,7171.0,0.08309,0.20716,0.43646,0.72671,mittel,-0.48995
10100316,Landsberger Tor,3681.0,-1.02334,-0.47587,-0.62014,-2.11935,mittel,-1.20325
10200417,Zossener Straße,7171.0,1.27498,1.80026,1.13548,4.21072,niedrig,-0.09293
10200418,Kyritzer Straße,5445.0,-0.12209,0.34669,0.37634,0.60094,mittel,-1.21138
10200419,Havelländer Ring,3564.0,0.32709,0.75328,0.57229,1.65266,mittel,-1.77104
10200420,Gut Hellersdorf,7159.0,1.04985,1.4563,1.44292,3.94907,niedrig,1.65004
10200421,Helle Mitte,1716.0,-0.4006,0.61505,0.2669,0.48135,mittel,-1.72247
10200422,Hellersdorfer Promenade,6503.0,2.01317,2.33726,1.74848,6.09891,sehr niedrig,2.53456
10200423,Böhlener Straße,5929.0,0.91463,1.45387,1.0906,3.4591,niedrig,0.63949
10200524,Adele-Sandrock-Straße,9975.0,-0.40253,0.10195,0.4413,0.14072,mittel,-0.31339
10200525,Schleipfuhl,5317.0,1.00932,1.43193,1.13081,3.57206,niedrig,0.6918
10200526,Boulevard Kastanienallee,6111.0,0.9695,1.93376,1.33431,4.23757,niedrig,0.11107
10200627,Am Kienberg,3465.0,-0.1082,0.18644,0.28163,0.35987,mittel,-0.60091
10200628,Neue Grottkauer Straße,6342.0,0.8918,1.55295,1.1353,3.58005,niedrig,-0.36244
10200629,Teterower Ring,8919.0,-0.18777,-0.23585,0.00846,-0.41516,mittel,0.29451
10200630,Cecilienplatz,6487.0,-0.33102,-0.06158,0.077,-0.3156,mittel,-0.75139
10300731,Oberfeldstraße,7805.0,-1.53737,-1.36614,-1.34639,-4.2499,hoch,-1.25659
10300732,Buckower Ring,6952.0,0.2566,0.0386,-0.20641,0.08879,mittel,0.87131
10300733,Alt-Biesdorf,3938.0,-1.27367,-1.06257,-1.07321,-3.40945,hoch,-1.52026
10300734,Biesdorf Süd,10260.0,-1.49091,-1.31492,-1.31069,-4.11652,hoch,-1.05044
10400835,Kaulsdorf Nord,7807.0,-1.19968,-0.98949,-0.92969,-3.11886,hoch,-1.38143
10400836,Alt-Kaulsdorf,3868.0,-0.91273,-0.99172,-1.12643,-3.03088,hoch,-0.68241
10400837,Kaulsdorf Süd,7733.0,-1.44866,-1.33158,-1.31077,-4.09101,hoch,-0.83902
10400938,Mahlsdorf Nord,9921.0,-1.47227,-1.2957,-1.36606,-4.13403,hoch,-1.26333
10400939,Alt-Mahlsdorf,4457.0,-1.2697,-1.11859,-1.18357,-3.57186,hoch,-1.18682
10400940,Elsensee,5801.0,-1.50259,-1.29263,-1.18874,-3.98396,hoch,-1.19788
10400941,Pilgramer Straße,9578.0,-1.47513,-1.3001,-1.30026,-4.07549,hoch,-1.14802
11100101,Dörfer Malchow-Wartenberg,3302.0,-1.45369,-1.16687,-1.2549,-3.87546,hoch,-1.60669
11100102,Dorf Falkenberg,2189.0,-0.40944,0.4457,0.38003,0.41629,mittel,1.09399
11100203,Falkenberg Ost,8986.0,1.26186,1.39548,1.20603,3.86337,niedrig,0.53318
11100204,Falkenberg West,7052.0,0.49799,0.72992,0.67199,1.8999,mittel,-0.15853
11100205,Wartenberg Süd,6095.0,0.57916,0.83637,1.15742,2.57295,mittel,0.16347
11100206,Wartenberg Nord,7609.0,1.12899,1.11164,1.20134,3.44197,niedrig,1.72867
11100307,Zingster Straße Ost,11690.0,0.8714,0.69628,0.95174,2.51942,mittel,0.56623
11100308,Zingster Straße West,9583.0,1.36226,1.295,1.40115,4.05841,niedrig,0.63433
11100309,Mühlengrund,5825.0,0.0165,-0.02178,0.07736,0.07208,mittel,-0.30926
11200410,Malchower Weg,9998.0,0.41407,0.26787,0.41588,1.09782,mittel,0.79693
11200411,Hauptstraße,6856.0,0.37672,0.13706,0.1975,0.71128,mittel,0.62735
11200512,Orankesee,3898.0,-1.00643,-0.70579,-0.64729,-2.35951,mittel,-0.10739
11200513,Große-Leege-Straße,9897.0,0.12295,0.18064,0.43265,0.73624,mittel,-0.54917
11200514,Landsberger Allee,15296.0,0.56183,0.34014,0.59224,1.49421,mittel,1.0238
11200515,Weiße Taube,4125.0,-1.33948,-1.17692,-1.16328,-3.67968,hoch,-1.13742
11300616,Hohenschönhausener Straße,6058.0,0.85137,0.72721,1.46499,3.04357,niedrig,-0.17762
11300617,Fennpfuhlpark,4292.0,0.54233,0.0112,0.55875,1.11228,mittel,0.24836
11300618,Storkower Bogen,3713.0,-0.32238,-0.30991,0.11504,-0.51725,mittel,-0.07598
11300619,Rudolf-Seiffert-Park,8422.0,-0.22945,-0.40377,-0.10242,-0.73564,mittel,-0.16128
11300620,Fennpfuhl Ost,11266.0,0.48986,0.17442,0.34863,1.01291,mittel,-0.13025
11300721,Herzbergstraße,5263.0,-0.4837,-0.22194,-0.02911,-0.73475,mittel,-0.07965
11300722,Rathaus Lichtenberg,9901.0,-0.49091,-0.46981,-0.6202,-1.58092,mittel,-0.51347
11300723,Bornitzstraße,2413.0,0.05584,-0.5007,-0.71452,-1.15938,mittel,-1.27832
11300724,Roedeliusplatz,3989.0,0.05004,-0.08336,0.10212,0.0688,mittel,-0.50537
11300725,Nibelungenviertel,9837.0,-0.3082,-0.23141,-0.3693,-0.90891,mittel,-0.93935
11300826,Frankfurter Allee Süd,9956.0,0.1454,0.1903,0.52953,0.86523,mittel,0.12378
11400927,Victoriastadt,4218.0,-0.60121,-0.65204,-0.8618,-2.11505,mittel,-0.74931
11400928,Nöldnerplatz,2359.0,-0.61527,-0.63265,-0.71471,-1.96263,mittel,0.48659
11400929,Weitlingkiez,16111.0,0.04208,-0.1176,-0.15826,-0.23378,mittel,-0.6106
11400930,Zachertstraße,4615.0,-0.75423,-0.82984,-1.03382,-2.61789,mittel,-0.61453
11400931,Massower Straße,6764.0,0.4446,0.14111,0.33604,0.92175,mittel,-0.76057
11401032,Rosenfelder Ring,5824.0,0.79112,0.21882,0.99202,2.00196,mittel,0.17758
11401033,Gensinger Straße,6756.0,0.39777,0.4047,0.35141,1.15388,mittel,-0.59377
11401034,Tierpark,3195.0,0.55239,0.31495,0.91945,1.78679,mittel,0.86083
11401135,Dolgenseestraße,10139.0,0.70463,0.36678,0.95017,2.02158,mittel,0.71857
11401136,Volkradstraße,8155.0,-0.26811,-0.54676,-0.09626,-0.91113,mittel,-0.42064
11401137,Erieseering,8708.0,0.50961,0.43718,0.81341,1.7602,mittel,0.0988
11501238,Rummelsburg,4244.0,-0.64322,-0.61752,-0.86668,-2.12742,mittel,-0.73193
11501339,Karlshorst West,10346.0,-1.0295,-0.87814,-0.93335,-2.84099,mittel,-0.99568
11501340,Karlshorst Nord,10640.0,-0.95456,-1.06396,-1.19575,-3.21427,hoch,-0.894
11501341,Karlshorst Süd,7252.0,-1.07653,-1.21418,-1.3184,-3.60911,hoch,-0.342
12100101,Letteplatz,10985.0,1.05798,1.30982,1.31908,3.68688,niedrig,0.71725
12100102,Hausotterplatz,9986.0,1.10008,1.39707,1.50101,3.99816,niedrig,1.11379
12100103,Breitkopfbecken,7702.0,0.83457,1.07775,1.18023,3.09255,niedrig,-0.20811
12100204,Schäfersee,8869.0,0.69306,0.94644,1.29736,2.93686,mittel,-0.39597
12100205,Teichstraße,14057.0,0.67241,0.81195,0.91041,2.39477,mittel,0.1184
12100206,Humboldtstraße,4661.0,0.13351,0.04584,0.20905,0.3884,mittel,0.2774
12200307,Reinickes Hof,2753.0,1.08887,0.60821,0.76932,2.4664,mittel,1.06167
12200308,Meller Bogen,5667.0,0.59932,0.33751,0.76777,1.7046,mittel,0.85831
12200309,Scharnweberstraße,10629.0,1.47472,1.49585,1.76648,4.73705,sehr niedrig,0.25954
12200310,Klixstraße,8270.0,1.78349,2.20729,2.11408,6.10486,sehr niedrig,0.80864
12200411,Schumacher-Quartier,393.0,0.59868,0.57894,0.75035,1.92797,mittel,-1.41338
12200412,Waldidyll/Flughafensee,6355.0,-0.81144,-0.52915,-0.39896,-1.73955,mittel,-1.28389
