id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
064007,Zehlendorf Südwest,26858,0.59007,22.44736,2.07679,33.89526,26.13374,15.78673,0.54591,71.43868,5.82473,0,68.57143,24.8651,0.59429,4.48067
064008,Zehlendorf Nord,42929,0.1588,22.29373,1.93853,40.11199,25.67262,12.70237,-0.03163,66.66055,6.09941,0,70.39322,17.00978,0.69197,7.195
071001,Schöneberg Nordwest,26195,4.6492,27.87122,16.45022,75.50432,54.00649,32.51384,-1.09124,67.33592,26.49389,18.26684,64.4517,28.88769,-0.41138,-3.50593
071002,Schöneberg Nordost,23948,2.78392,28.84354,16.43165,64.81013,49.24837,28.81243,-1.18226,67.78261,23.06774,41.5066,67.89907,24.24624,-1.48493,-2.83985
072003,Schöneberg Südwest,21079,3.28587,27.29744,10.38223,61.6172,40.95071,23.5163,0.84202,60.581,21.85445,1.20025,65.17999,25.80366,0.05764,0.19155
072004,Schöneberg Südost,30527,3.08123,26.86782,10.37913,56.87387,42.09388,24.34894,-0.40049,64.03875,19.04617,37.94018,65.19464,26.21339,0.15318,-5.19995
073005,Friedenau West,24466,1.19556,25.31749,5.59822,41.43881,28.67244,15.55628,0.45541,59.95796,11.4063,0,69.53038,22.50211,-0.74453,-4.69687
073006,Friedenau Ost,21673,2.34915,26.49652,5.60286,55.41606,39.36695,20.3802,0.1952,64.81775,20.68336,0.07382,70.5671,19.78283,-0.67425,-0.74788
074007,Tempelhof Nord,17502,2.56112,29.44251,7.73792,54.28177,38.66987,18.44932,-4.72284,64.54011,22.53774,0.22855,72.54093,29.118,-3.30276,-6.66987
074008,Tempelhof Südwest,31951,2.56937,32.28188,7.7381,57.66624,36.45582,19.65823,1.25484,63.87518,24.68108,3.22369,65.91224,21.88855,0.26115,-2.21943
074009,Tempelhof Südost,15084,4.39189,31.33333,7.73686,74.46361,48.99894,28.9048,1.88883,62.47706,31.15365,49.76134,61.87131,29.51706,-0.3537,-4.64925
075010,Mariendorf Nord,31782,3.85321,31.13731,5.0014,63.67624,38.39909,19.13033,0.74853,64.22697,30.19528,29.61425,67.04624,21.26455,0.48275,-1.64445
075011,Mariendorf Süd,20958,3.09757,24.8468,4.99744,58.85279,33.36673,17.1629,1.25133,66.24965,29.02633,37.88052,70.25856,18.3437,0.67342,-0.52954
076012,Marienfelde Nord,17802,4.58861,26.47224,6.01382,61.61647,37.87215,19.54275,1.11681,73.98678,46.82912,35.86114,69.93807,19.4734,0.18016,0.13772
076013,Marienfelde Süd,14462,4.10448,32.89474,6.02007,59.68202,39.86309,16.27023,1.55668,62.55844,38.99167,19.72065,72.45766,15.06248,-0.05722,0.62885
076014,Lichtenrade Nord,21393,1.48794,27.63281,3.81394,40.92863,23.13374,9.7976,0.84481,62.54771,28.2504,8.85336,72.21161,15.3443,0.39607,4.55371
076015,Lichtenrade Süd,30717,3.92749,29.33845,3.81109,49.15593,28.67142,14.88101,1.45253,71.34106,42.86053,28.0724,68.83651,17.787,1.41248,4.44241
081001,Schillerpromenade,32480,8.91404,32.47094,21.34609,76.32871,55.87746,35.86823,0.16314,63.20172,27.78969,97.01047,60.63575,28.94281,-0.49217,-7.31769
081002,Neuköllner Mitte/Zentrum,37931,10.03327,31.81395,20.45572,81.06568,59.5766,37.01722,0.49085,65.8144,31.47006,100,61.98265,29.24772,-0.33433,-5.92779
081003,Reuterstraße,39139,6.30936,32.00483,17.79731,66.67885,51.17913,32.76272,0.2902,61.11674,22.66712,98.5411,63.57055,25.94713,-1.30686,-8.25668
081004,Rixdorf,39699,8.72738,30.13537,17.74618,74.44642,53.37666,34.57266,0.23602,61.16576,31.64428,92.33986,60.21914,28.34803,-1.63375,-8.9179
081005,Köllnische Heide,15387,12.02595,29.57746,19.77092,89.31987,69.10379,32.36498,0.19007,82.83133,51.30913,100,75.40267,17.87793,-1.31103,-5.34101
082006,Britz Nord,20426,7.99439,31.11782,8.01585,78.05148,52.24224,29.38901,0.4243,67.51624,38.3547,100,64.63624,24.34318,-0.06631,-2.53152
082007,Britz,23148,2.94406,29.07531,8.20811,52.22415,31.0394,13.81113,0.33626,67.6259,27.50706,32.68533,72.91029,15.38108,0.54756,-1.43701
082008,Buckow,28596,5.01648,28.45018,4.7619,61.31371,35.03637,15.95678,-0.03051,72.05786,35.69734,78.86068,72.3923,17.77072,-0.91373,1.07326
083009,Gropiusstadt West,19837,6.73023,30.50847,7.8985,81.56826,49.38751,20.02319,1.08807,73.84189,37.04955,74.12915,74.25379,14.61529,0.27275,-0.47024
083010,Gropiusstadt Ost,17754,6.97928,28.255,7.90835,79.47179,53.7231,22.27667,1.48414,81.9469,43.55568,25.65619,71.68613,14.59742,0.9755,3.30756
084011,Buckow Nord,9598,3.65297,27.36077,3.30855,64.92074,34.31965,14.45093,0.93073,70.15141,35.41502,91.39404,72.6271,15.60399,0.09842,-2.23922
084012,Rudow,43950,2.66789,24.53352,2.70965,49.91241,29.22184,12.07736,1.33069,68.76413,27.34842,23.16268,73.77186,15.41895,0.57232,4.22029
091001,Alt-Treptow,13167,3.30761,28.18358,6.27981,42.86309,33.18144,19.7995,0.64479,59.30188,18.40855,78.82585,60.477,26.11363,1.90544,1.76715
091002,Plänterwald,11299,2.56098,32.53012,2.30995,31.93505,19.72741,11.98336,1.69275,57.0901,20.96896,0,67.17153,18.42796,0.08015,-5.21868
091003,Baumschulenweg,18894,2.92683,34.27673,1.71281,35.69758,20.14396,11.85562,2.71328,70.66964,24.06293,10.55361,63.18974,22.92709,1.62195,0.55221
091004,Johannisthal,19960,1.7616,33.79722,2.17726,27.23418,15.43587,8.24148,1.59621,61.2766,25.88384,11.58818,68.91508,18.39662,0.38821,-1.5208
092005,Oberschöneweide,23638,3.86643,38.22331,6.27087,40.17995,26.94813,19.12598,2.38582,62.0438,36.56834,38.92884,53.7138,30.50718,0.78781,-3.19279
092006,Niederschöneweide,13004,3.52324,31.70163,3.5426,38.34735,25.62289,19.19409,2.19163,64.26282,28.29268,21.67026,54.78771,31.61417,1.74672,-1.97291
092007,Adlershof,20210,2.78712,32.89409,2.42174,35.72114,23.69619,17.01633,2.89634,66.76359,23.56763,18.56507,54.03247,27.99999,1.335,-1.03219
092008,Köllnische Vorstadt/Spindlersfeld,11353,4.94959,41.21167,3.6105,31.25904,19.73047,13.86418,2.76329,58.25921,33.6801,50.36554,61.86719,22.7666,1.92392,2.11948
093009,Altglienicke,28277,3.44958,30.6925,2.87257,29.05535,18.10305,8.91891,1.9161,71.53053,41.73877,21.21159,68.04403,18.37065,2.16353,7.88257
093010,Bohnsdorf,13177,2.45009,26.02428,1.28472,22.75255,13.97131,8.18851,0.39719,62.6506,18.51145,52.81931,72.10468,28.92285,0.26305,-1.52858
