id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,z_s1_percentage_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01400942,Westliche Müllerstraße,8643.0,3.0,niedrig,+,positiv,3+,"Status niedrig , Dynamik positiv",8643.0,7.1553,17.14682,47.6828,1.59654,-2.90154,-6.62582,8643.0,0.74178,0.88068,1.38956,3.01202,niedrig,0.55299,8643.0,4.00782,30.10432,16.36829,77.08155,53.71977,36.6308,-0.70223,63.55022,29.80379,100.0,56.65736,36.8815,-0.39376,-3.40269
01401043,Antonstraße,7739.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",7739.0,10.77886,26.95439,60.18779,2.09216,-3.25078,-3.40013,7739.0,1.97265,2.26735,2.14041,6.38041,sehr niedrig,1.09073,7739.0,6.91164,27.74019,18.54664,87.97277,66.89495,40.03101,-1.91428,68.6572,42.20315,98.84998,64.57995,26.02428,-0.70469,-5.61833
01401044,Uferstraße,10224.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",10224.0,10.3426,26.24218,62.31884,2.80861,-3.48215,-6.90211,10224.0,1.82446,2.16665,2.26837,6.25948,sehr niedrig,1.86807,10224.0,7.71208,28.5865,18.62528,87.7942,67.4198,43.61307,-1.17781,64.07266,38.76418,100.0,61.35562,27.22689,-2.4269,-1.64587
01401045,Schwedenstraße,5722.0,4.0,sehr niedrig,-,negativ,4-,"Status sehr niedrig , Dynamik negativ",5722.0,10.907,27.36805,59.93624,4.21686,-2.63195,-0.888500000000001,5722.0,2.01618,2.32583,2.12531,6.46732,sehr niedrig,3.396,5722.0,7.94451,28.47458,18.5446,91.00529,72.94652,45.78819,-0.76064,67.9771,40.09046,100.0,63.49648,30.99812,-1.61581,-4.91307
01401046,Nordufer,8781.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv",8781.0,7.05882,14.95274,34.69602,1.54933,-2.44144,-7.71851,8781.0,0.70901,0.57046,0.60978,1.88925,mittel,0.50176,8781.0,4.29104,28.88563,19.06841,70.91562,49.27685,31.38595,-1.60568,62.59071,24.10959,99.69252,55.58479,33.55219,-2.59923,-9.13834
01401047,Sparrplatz,7867.0,3.0,niedrig,+,positiv,3+,"Status niedrig , Dynamik positiv",7867.0,7.95526,18.91445,51.68651,2.07742,-4.07934,-7.06947,7867.0,1.01352,1.1306,1.62996,3.77408,niedrig,1.07473,7867.0,6.21572,26.75367,18.98239,83.02872,69.51824,50.81988,-0.09937,70.81041,25.16417,100.0,56.51191,37.30161,-1.34994,-8.19757
01401048,Leopoldplatz,9098.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",9098.0,8.90001,21.64212,51.91606,1.92771,-3.12091,-1.52771,9098.0,1.33443,1.51626,1.64374,4.49443,sehr niedrig,0.9123,9098.0,5.56586,26.63989,22.31813,77.30015,58.969,37.28292,-0.78257,64.85849,32.53558,100.0,62.28794,30.91852,-1.14645,-3.73846
01401049,Schulstraße,6689.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",6689.0,11.32157,26.87995,65.13234,2.80344,-3.24498,-1.60495,6689.0,2.157,2.25682,2.4373,6.85112,sehr niedrig,1.86246,6689.0,8.06452,33.03085,22.31687,84.51113,61.20496,42.06907,-0.47778,61.5494,43.42789,100.0,60.04401,25.60401,-2.63931,-9.47427
02100101,Askanischer Platz,6281.0,3.0,niedrig,-,negativ,3-,"Status niedrig , Dynamik negativ",6281.0,8.42778,21.17497,44.22404,2.35628,0.0405699999999989,3.99535,6281.0,1.17402,1.45021,1.18188,3.80611,niedrig,1.37729,6281.0,7.17029,23.03665,24.69352,88.921,69.51122,40.43942,-4.42354,71.41732,25.84746,95.58987,57.21218,49.03,-4.59086,-11.75373
02100102,Mehringplatz,8647.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",8647.0,11.04756,27.33896,53.43728,2.5186,-2.11115,-2.60992,8647.0,2.06393,2.32172,1.73508,6.12073,sehr niedrig,1.55341,8647.0,8.55661,25.31357,25.9624,91.86519,71.0998,34.91384,-0.26037,75.22358,34.81537,100.0,65.44855,27.64063,0.9068,0.78418
