id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,z_s1_percentage_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
02020202,Rathaus Yorckstraße,6099.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6099.0,4.39344,13.75635,27.64045,-0.32437,0.2672,3.14341,6099.0,0.22068,0.26299,0.11654,0.60021,mittel,0.70541,6099.0,3.64501,-,13.56467,54.28296,44.63027,29.07034,1.14046,59.05245,25.16882,2.69901,1.6483,37.75898,77.111
02020203,Viktoriapark,11056.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",11056.0,3.32975,9.46997,17.7763,-0.46605,-1.48906,-3.06581,11056.0,-0.24209,-0.27706,-0.43503,-0.95418,mittel,0.55056,11056.0,2.51429,-,11.40426,52.04327,39.90593,24.83719,1.47691,52.73125,15.85851,0.1141,1.84416,42.74077,71.51773
02020204,Urbanstraße,12808.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",12808.0,3.45382,10.94628,19.97464,-0.48905,-1.36915,-1.74721,12808.0,-0.18812,-0.09106,-0.31211,-0.59129,mittel,0.52543,12808.0,2.13816,-,14.24076,53.8292,43.23079,27.61555,1.86511,51.42776,16.73356,0.32612,1.70956,37.57519,87.5
02020205,Chamissokiez,15107.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",15107.0,3.3793,10.21381,19.04219,-0.5252,-1.30244,-1.85086,15107.0,-0.22054,-0.18334,-0.36424,-0.76812,mittel,0.48592,15107.0,1.853,-,13.20872,53.02594,41.49732,25.55769,1.24262,60.11396,13.81295,17.59662,1.76627,39.81618,27.34494
02020206,Graefekiez,19040.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",19040.0,4.56271,15.28887,27.54491,-0.827,-1.3498,-2.82099,19040.0,0.29433,0.45608,0.1112,0.86161,mittel,0.15608,19040.0,3.58663,-,16.4806,59.88885,46.61239,27.88866,0.47421,56.08286,23.32235,1.06,1.67579,38.25987,56.39706
02030301,Oranienplatz,8996.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",8996.0,7.6562,24.42197,50.25952,-1.74181,-3.44869,-3.43343,8996.0,1.64021,1.60678,1.38132,4.62831,sehr niedrig,-0.84373,8996.0,4.00822,-,21.91781,77.7938,63.42819,38.36149,0.21807,75.42741,34.28976,20.55106,1.47154,31.47632,96.14273
02030302,Lausitzer Platz,13131.0,2.0,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",13131.0,5.87358,19.54916,34.26901,-1.43746,-2.31777,-6.46956,13131.0,0.86465,0.99284,0.48719,2.34468,mittel,-0.5111,13131.0,4.96241,-,20.9713,68.06515,54.3066,32.59462,-0.22476,68.73832,27.97203,14.68679,1.62272,35.29396,100.0
02030401,Reichenberger Straße,15263.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",15263.0,4.89885,15.33774,28.79337,-0.6474,-2.56276,-5.93595,15263.0,0.44057,0.46223,0.18101,1.08381,mittel,0.35236,15263.0,4.43764,-,16.93431,59.54095,49.3612,32.01206,0.66473,59.57839,20.75984,2.52751,1.61934,37.81773,92.53751
02030402,Wrangelkiez,11172.0,2.0,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",11172.0,5.01905,14.00823,24.2963,-0.80291,-3.36071,-6.63003,11172.0,0.49287,0.29473,-0.07045,0.71715,mittel,0.18241,11172.0,2.7668,-,18.97321,60.48132,50.9488,33.44074,1.43677,60.09101,20.46005,3.93977,1.63767,36.72252,100.0
02040501,Barnimkiez,5390.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5390.0,5.20557,12.80148,36.69421,-0.79377,-0.22584,1.66966,5390.0,0.57402,0.14268,0.6228,1.3395,mittel,0.1924,5390.0,2.04082,-,1.80893,55.84046,28.77551,16.06679,2.4262,72.1709,28.53746,73.62482,1.93618,32.35547,0.0
02040502,Friedenstraße,7443.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7443.0,2.87564,9.7407,24,-1.46789,0.02061,-2.22108,7443.0,-0.43966,-0.24295,-0.08702,-0.76963,mittel,-0.54436,7443.0,2.38095,-,3.49279,48.43592,30.76716,19.58888,3.44906,58.36763,17.68466,37.23502,1.86041,38.07927,0.0
02040503,Richard-Sorge-Viertel,11157.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",11157.0,2.66205,6.9015,13.98363,-0.56571,-0.86089,-2.2286,11157.0,-0.53259,-0.60067,-0.6471,-1.78036,mittel,0.44164,11157.0,1.88934,-,2.96804,37.78055,26.64695,17.28959,1.31838,52.09953,13.90063,25.63281,1.76974,37.64318,52.99812
02040701,Andreasviertel,13151.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",13151.0,4.58203,13.77082,39.5288,-0.05671,-0.08856,-0.96894,13151.0,0.30273,0.26481,0.7813,1.34884,mittel,0.99793,13151.0,2.68657,-,4.8972,64.85092,42.20211,27.22226,4.2071,72.93296,22.70916,49.34342,1.63524,33.2288,0.03042
02040702,Weberwiese,10973.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",10973.0,2.46711,5.82338,8.65079,-1.01657,-0.65413,-1.98252,10973.0,-0.6174,-0.73651,-0.9453,-2.29921,mittel,-0.0511,10973.0,1.25786,-,3.99667,32.2695,28.58835,19.78493,4.34718,47.21327,7.22326,12.92467,1.77299,40.76269,31.97849
