id,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k08_urban_apartments,k14_living_rooms,k15_living_space,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
070404,8.8799,2.97822,14.3162,35.63477,-0.18755,-0.09225,-0.03685,-0.32561,4.61737,33.35065,5.91437,55.5854,33.17006,17.02554,1.49759,60.44436,31.8746,12.80262,1.79148,37.45167,15.61752,61.5283,23.1893,2.03764,-0.00226
070505,8.56982,2.84413,12.0133,32.2546,0.02025,0.01219,-0.31541,-1.48627,5.10479,30.46252,4.0325,53.83934,29.00624,13.55775,1.6798,59.58497,32.76344,6.26347,1.82318,37.72493,42.40856,64.71744,19.932,1.26035,0.04056
070606,9.03605,2.93658,14.93728,38.50659,0.45208,0.15113,0.78399,3.88267,5.5428,29.6,4.52982,53.53332,31.48922,12.99453,0.91461,65.5198,43.54054,26.14965,1.77813,37.08762,50.24124,65.37815,22.88455,1.02794,1.6593
070707,6.83126,2.45899,10.00181,27.33824,0.03649,0.02406,-0.20964,0.76773,3.64583,29.78981,3.15107,34.68031,18.56358,7.55013,1.2227,56.76612,36.3528,15.5435,1.95539,43.09507,36.43732,69.11771,17.4562,0.4052,4.09445
080101,11.36291,3.4688,25.64142,59.81308,-1.5089,-0.58214,-1.53756,-3.81213,5.88563,29.28325,17.27575,79.48014,52.35188,34.06049,1.39974,58.85189,37.85227,5.66734,1.50229,32.32418,99.9907,53.0306,36.77909,0.87814,-6.00243
080102,11.64133,3.62816,28.00795,64.98062,-1.32236,-0.5357,-0.82739,-1.64958,6.21445,29.77778,17.57387,84.35204,57.38661,36.20899,0.52492,60.80416,41.0559,16.61155,1.38746,30.7787,100.0,53.57289,34.27463,1.13516,-6.05303
080103,9.31105,2.71208,20.59252,49.58882,-0.74826,-0.27879,-1.0127,-4.92198,5.01491,28.80307,15.90783,71.43621,47.98004,31.38049,1.29213,55.72441,30.93091,2.97902,1.57631,34.28897,100.0,55.87721,33.31489,0.52889,-6.91825
080104,11.07594,3.16548,24.9553,59.95924,-1.23602,-0.74239,-1.33531,-2.01464,6.62558,29.02273,13.97134,78.24214,50.16392,32.86807,0.46557,55.36497,39.74505,3.77038,1.53355,32.48045,100.0,51.25013,35.4723,0.45859,-8.37448
080105,15.81587,5.36556,43.38432,74.38189,-1.90906,0.30868,1.43479,0.49556,10.35599,27.78905,14.67845,86.46999,65.16108,31.37651,0.35957,81.20722,66.71129,25.28897,1.38438,26.60306,99.34917,60.76814,25.22322,0.63116,1.07324
080206,8.38226,2.60564,18.17858,42.35727,-1.2,-0.41469,0.50084,-0.2162,4.82199,31.51239,6.18979,60.38438,33.74391,17.04672,2.42422,62.2681,39.77815,12.7808,1.70058,34.82304,64.16122,63.78897,21.81431,1.44325,0.7351
