id,name,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
05010313,Ackerstraße,6497.0,12.16777,4.46429,20.16315,51.09223,-0.67744,-0.30985,-0.62752,-0.86043
05010314,Carl-Schurz-Straße,11671.0,10.75061,3.65617,19.38994,47.62259,-2.02069,-0.63438,0.17453,-3.46946
05010339,Freiheit,448.0,10.97561,5.4878,8.25893,15,0.64228,1.82114,-0.91754,-11.31579
05020415,Isenburger Weg,3900.0,2.39251,0.52011,1.76923,3.84615,-0.63677,-0.38867,-0.74144,-1.65213
05020416,Am Heideberg,1736.0,5.53471,1.31332,7.71889,21.08844,-0.95652,-0.6165,0.41678,0.35673
05020417,Staakener Straße,5709.0,5.16726,1.65896,5.6227,13.77049,-0.01083,-0.09446,1.22256,2.52888
05020418,Spandauer Straße,3971.0,7.02836,2.17838,8.15915,14.18312,-1.5337,-0.4435,-1.7715,-4.64458
05020419,Magistratsweg,6897.0,12.64368,4.18902,19.12426,54.14236,-0.48036,-0.62313,-0.17528,-2.69844
05020420,Werkstraße,929.0,4.22741,0.87464,5.38213,10.60606,-1.1699,-0.62461,0.77334,0.88384
05020521,Döberitzer Weg,2876.0,3.37134,0.89241,5.0765,9.34959,-0.87172,-0.15525,-0.18086,-0.03164
05020522,Pillnitzer Weg,7117.0,14.2269,4.59744,30.20936,64.73724,-0.83102,-0.70501,2.6983,2.40203
05020523,Maulbeerallee,11613.0,16.55084,5.82896,38.73246,74.00676,-1.9843,-0.69552,1.13425,-0.66342
05020524,Weinmeisterhornweg,6082.0,5.12153,1.90972,5.68892,15.50696,-0.38622,-0.127,0.25145,3.05082
05020625,Borkumer Straße,7417.0,9.16649,2.55809,15.31617,44.47368,-1.02898,-1.3735,0.24883,-0.59674
05020626,Adamstraße,17174.0,10.68042,3.51023,17.03738,43.21482,-1.1213,-0.52004,0.01711,1.61731
05020627,Tiefwerder,3889.0,10.54919,3.59542,22.37079,54.32526,-0.04952,-0.20717,1.74628,5.44018
05020628,Graetschelsteig,1985.0,9.35673,3.7037,12.14106,41.43646,-0.40605,0.14531,-0.69211,-0.51756
05020629,Börnicker Straße,4370.0,4.27998,1.11458,2.83753,2.92553,0.06311,-0.30539,-0.09362,-3.39026
05030730,Zitadellenweg,3786.0,5.59223,1.6699,12.04437,22.32258,-0.97556,-0.27925,-0.60465,-4.22609
05030731,Gartenfelder Straße,11499.0,11.64171,3.83111,20.50613,53.72414,-1.4043,-0.7117,0.96902,1.37672
05030832,Rohrdamm,11346.0,9.12863,2.87779,17.60092,43.5514,-1.43689,-0.79117,1.41816,2.72841
05030833,Motardstraße,1407.0,2.25269,0.48972,3.19829,5.53506,-1.12809,-0.39996,-1.646,3.99659
