id,name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
07040403,Manteuffelstraße,23743.0,0.28257,0.73323,0.21555,0.4057,1.63705,0.42199,mittel,-0.36325
07040404,Marienhöhe,5102.0,0.4476,0.05963,0.14537,0.39128,1.04388,0.26909,mittel,0.13089
07040405,Rathaus Tempelhof,11155.0,0.63314,0.39178,0.4379,0.63434,2.09716,0.54059,mittel,-0.3623
07040406,Germaniagarten,3911.0,2.04595,1.96317,1.96862,2.30339,8.28113,2.13466,sehr niedrig,-1.39613
07050501,Rathausstraße,16062.0,0.44989,0.8374,0.39623,0.53865,2.22217,0.57282,mittel,-0.30739
07050502,Fritz-Werner-Straße,8120.0,0.65844,0.71128,0.15493,0.28195,1.8066,0.46569,mittel,-0.77852
07050503,Eisenacher Straße,9145.0,0.36571,0.90788,-0.03231,0.20737,1.44865,0.37342,mittel,-0.54035
07050504,Imbrosweg,5588.0,0.46783,0.48781,0.14234,0.03939,1.13737,0.29318,mittel,-0.26679
07050505,Hundsteinweg,10586.0,-0.39378,-0.0698,-0.33312,0.021,-0.7757,-0.19996,mittel,0.04326
07050506,Birnhornweg,2305.0,-0.85828,-1.41089,-0.95163,-0.77797,-3.99877,-1.03078,hoch,0.72669
07060601,Marienfelder Allee Nordwest,10109.0,0.92867,0.24509,0.93254,1.04841,3.15471,0.8132,mittel,0.07969
07060602,Kirchstraße,4638.0,-0.94108,-0.82749,-0.8128,-0.7609,-3.34227,-0.86155,mittel,0.06578
07060603,Marienfelde Nordost,3176.0,0.2601,0.07691,0.21317,0.55129,1.10147,0.28393,mittel,-0.80686
07060604,Marienfelde Süd,14304.0,0.80205,1.2056,0.58524,0.79542,3.38831,0.87342,mittel,0.05618
07070701,Kettinger Straße/Schillerstraße,10474.0,-0.6778,-0.58504,-0.64303,-0.47955,-2.38542,-0.6149,mittel,0.39303
07070702,Alt-Lichtenrade/Töpchiner Weg,10801.0,-0.71179,-0.32134,-0.52463,-0.51181,-2.06957,-0.53348,mittel,-0.07133
07070703,John-Locke-Straße,7304.0,0.88124,1.17672,0.3069,0.51884,2.8837,0.74334,mittel,-0.46938
07070704,Nahariyastraße,8390.0,1.61651,1.92936,1.61922,1.64941,6.8145,1.7566,sehr niedrig,-0.91127
07070705,Franziusweg/Rohrbachstraße,6973.0,-1.01567,-1.22907,-0.9405,-0.95211,-4.13735,-1.0665,hoch,0.5325
07070706,Horstwalder Straße/Paplitzer Straße,3919.0,-0.78168,-1.0203,-0.53678,-0.48021,-2.81897,-0.72666,mittel,-0.31773
07070707,Wittelsbacherstraße,2936.0,-1.20149,-1.10083,-0.99564,-0.79687,-4.09483,-1.05554,hoch,0.66236
08010115,Hasenheide,874.0,-0.26302,-0.4716,-0.18625,-0.03241,-0.95328,-0.24573,mittel,-2.14507
08010116,Wissmannstraße,3576.0,1.54138,1.52732,1.51599,1.16553,5.75022,1.48226,niedrig,-0.98696
08010117,Schillerpromenade,15949.0,1.08706,0.78569,1.04374,1.0735,3.98999,1.02852,niedrig,-0.49165
08010118,Silbersteinstraße,11755.0,1.93166,1.39411,2.03915,2.15777,7.52269,1.93916,sehr niedrig,1.20962
08010211,Flughafenstraße,9929.0,0.98058,0.70684,1.2959,1.63097,4.61429,1.18944,niedrig,-0.28602
08010212,Rollberg,7432.0,1.77044,1.47799,2.58325,2.01669,7.84837,2.02311,sehr niedrig,0.00032
08010213,Körnerpark,12649.0,1.09707,0.83004,1.48449,1.719,5.1306,1.32254,niedrig,-0.47751
08010214,Glasower Straße,8063.0,1.88876,1.66141,1.89745,1.7791,7.22672,1.86286,sehr niedrig,-0.01522
08010301,Reuterkiez,27792.0,0.51681,0.23154,0.58881,0.56999,1.90715,0.49161,mittel,0.22041
08010302,Bouchéstraße,3670.0,1.20325,1.24698,1.04692,1.2813,4.77845,1.23176,niedrig,-0.45384
08010303,Donaustraße,8512.0,1.18554,0.92954,1.57819,1.77481,5.46808,1.40953,niedrig,0.26303
08010404,Rixdorf,23647.0,1.13997,0.94888,1.21522,1.22209,4.52616,1.16673,niedrig,-0.13494
08010405,Hertzbergplatz,9145.0,0.98767,0.46422,0.89074,1.03198,3.37461,0.86989,mittel,0.65129
08010406,Treptower Straße Nord,7071.0,2.28589,1.57442,2.38662,2.24023,8.48716,2.18777,sehr niedrig,0.037
